,HOOD,,,,,,,ADDR,CITY,ZIP,Latitude,Longitude,,,,,,PRICE,,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4945,104, ,A1, 3819 HARPER AVE                           ,NYC,10466,40.888501,-73.833491,"3,700","1,200",1930,1, A1 ,"$360,000 ",12/4/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4946,10, ,A1, 3710 HARPER AVENUE                        ,NYC,10466,40.887352,-73.833049,"2,375","1,248",1930,1, A1 ,"$360,000 ",8/12/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4946,20, ,A1, 3715 SECOR AVENUE                         ,NYC,10466,40.887466,-73.832678,"2,850","1,120",1930,1, A1 ,"$330,000 ",8/19/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4951,14, ,A1, 3811 MERRITT AVENUE                       ,NYC,10466,40.888249,-73.829671,"2,500",896,1930,1, A1 ,"$372,587 ",8/3/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4957,48, ,A0, 3935 MURDOCK AVENUE                       ,NYC,10466,40.889704,-73.839886,"5,000","1,289",1949,1, A0 ,"$335,000 ",12/7/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4958,41, ,A5, 2090 STRANG AVENUE                        ,NYC,10466,40.890676,-73.8391259,"2,100","1,296",1955,1, A5 ,"$396,550 ",7/8/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4960,70, ,A5, 3931 SETON AVENUE                         ,NYC,10466,40.889734,-73.837036,"2,500","1,782",1957,1, A5 ,"$275,000 ",10/27/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4961,33, ,A1, 2152 STRANG AVE                           ,NYC,10466,40.8909949,-73.837071,"2,750","1,505",1925,1, A1 ,"$365,000 ",1/9/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4962,4, ,A2, 3918 AMUNDSON AVENUE                      ,NYC,10466,40.889749,-73.835516,"3,750","1,118",1925,1, A2 ,"$300,000 ",9/18/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4962,28, ,A1, 3964 AMUNDSON AVENUE                      ,NYC,10466,40.89103,-73.836008,"2,500","1,386",1925,1, A1 ,"$240,000 ",10/16/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4963,78, ,S1, 4001 PRATT AVENUE                         ,NYC,10466,40.891096,-73.8342,"3,748","2,204",1925,1, S1 ,"$424,000 ",9/30/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4964,29, ,A2, 3934 PRATT AVE                            ,NYC,10466,40.890284,-73.833927,"5,344","1,300",1925,1, A2 ,"$450,000 ",10/5/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4969,39, ,A1, 4042 SECOR AVENUE                         ,NYC,10466,40.891939,-73.831628,"2,250","1,376",1920,1, A1 ,"$469,000 ",6/24/2015,
