KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,HOOD,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,CH ,1026596,236961,40.81698565,-73.84701407,"(40.816985648, -73.847014071)"
105,ROBBERY,388,"ROBBERY,RESIDENTIAL COMMON AREA",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,45,INSIDE,RESIDENCE - PUBLIC HOUSING,TN ,1032930,239207,40.82311764,-73.8241144,"(40.823117641, -73.824114397)"
106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",ATTEMPTED,FELONY,N.Y. HOUSING POLICE,BRONX,42,INSIDE,RESIDENCE - PUBLIC HOUSING,WB,1009394,242828,40.8331546,-73.90913931,"(40.833154599, -73.909139311)"
106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,46,INSIDE,RESIDENCE - PUBLIC HOUSING,SW,1005852,247414,40.84575121,-73.92192416,"(40.845751206, -73.921924155)"
105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,46,FRONT OF,RESIDENCE - PUBLIC HOUSING,SW,1005852,247414,40.84575121,-73.92192416,"(40.845751206, -73.921924155)"
106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",ATTEMPTED,FELONY,N.Y. POLICE DEPT,BRONX,40,OPPOSITE OF,RESIDENCE - PUBLIC HOUSING,SB ,1010482,234903,40.81139956,-73.90523862,"(40.811399561, -73.905238619)"
106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,40,FRONT OF,RESIDENCE - PUBLIC HOUSING,MR,1006104,238459,40.8211717,-73.92104251,"(40.821171696, -73.921042512)"
106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,BD,1020852,240782,40.82749887,-73.86774509,"(40.827498869, -73.867745085)"
105,ROBBERY,394,"ROBBERY,LICENSED FOR HIRE VEHICLE",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,FRONT OF,TAXI (LIVERY LICENSED),CH,1027228,237469,40.81837691,-73.84472754,"(40.818376912, -73.844727536)"
109,GRAND LARCENY,419,"LARCENY,GRAND FROM PERSON,UNCL",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,FRONT OF,RESIDENCE - PUBLIC HOUSING,BD,1021275,240025,40.82541936,-73.86622081,"(40.825419359, -73.866220811)"
106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,SV,1020637,237482,40.8184422,-73.86853985,"(40.818442201, -73.868539851)"
109,GRAND LARCENY,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,SV,1020874,237525,40.81855924,-73.86768337,"(40.818559244, -73.867683367)"
105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,FRONT OF,RESIDENCE - PUBLIC HOUSING,BD,1021111,240829,40.82762679,-73.86680897,"(40.827626793, -73.866808966)"
106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,45,INSIDE,RESIDENCE - PUBLIC HOUSING,TN ,1033577,239043,40.82266392,-73.82177792,"(40.822663919, -73.821777915)"
106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,BD,1020325,240688,40.82724303,-73.86964983,"(40.827243034, -73.86964983)"
105,ROBBERY,389,"ROBBERY,DWELLING",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,CH ,1026268,237961,40.81973193,-73.8481928,"(40.81973193, -73.848192804)"
106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,45,INSIDE,RESIDENCE - PUBLIC HOUSING,TN ,1032218,239444,40.82377203,-73.82668524,"(40.823772033, -73.826685244)"
109,GRAND LARCENY,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,40,INSIDE,RESIDENCE - PUBLIC HOUSING,J,1007292,238953,40.82252457,-73.91674855,"(40.822524568, -73.91674855)"
106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,41,INSIDE,RESIDENCE - PUBLIC HOUSING,L ,1015284,240357,40.82635368,-73.88786624,"(40.826353684, -73.88786624)"
106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,CH ,1025708,238315,40.82070621,-73.85021386,"(40.820706205, -73.850213861)"
105,ROBBERY,366,"ROBBERY,BICYCLE",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,44,OPPOSITE OF,PARK/PLAYGROUND,CP ,1007976,242140,40.83127016,-73.91426593,"(40.831270161, -73.914265926)"
105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,49,FRONT OF,RESIDENCE - PUBLIC HOUSING,PB ,1022660,253758,40.86310646,-73.86113781,"(40.863106463, -73.861137807)"
109,GRAND LARCENY,430,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,49,INSIDE,RESIDENCE - PUBLIC HOUSING,E ,1025376,256698,40.87116362,-73.85130063,"(40.871163624, -73.851300629)"
109,GRAND LARCENY,401,"LARCENY,GRAND BY ACQUIRING LOS",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,BD,1021275,240025,40.82541936,-73.86622081,"(40.825419359, -73.866220811)"
101,MURDER & NON-NEGL. MANSLAUGHTER,401,ROBBERY,COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,40,OUTSIDE,RESIDENCE,MR,1006895,237886,40.81959698,-73.91818655,"(40.819596981, -73.918186548)"
105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,40,REAR OF,RESIDENCE - PUBLIC HOUSING,J,1006423,238904,40.8223923,-73.91988849,"(40.8223923, -73.919888489)"
106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,49,INSIDE,RESIDENCE - PUBLIC HOUSING,E,1024600,256714,40.87121112,-73.85410634,"(40.871211121, -73.85410634)"
105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,SV,1020891,236726,40.81636615,-73.86762631,"(40.816366145, -73.867626311)"
109,GRAND LARCENY,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,CH ,1026382,237309,40.81794183,-73.84778502,"(40.817941833, -73.847785022)"
105,ROBBERY,390,"ROBBERY,HOME INVASION",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,SV,1020341,237429,40.81829795,-73.86960955,"(40.818297945, -73.869609545)"
105,ROBBERY,390,"ROBBERY,HOME INVASION",ATTEMPTED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,SV,1020874,237525,40.81855924,-73.86768337,"(40.818559244, -73.867683367)"
106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,40,INSIDE,RESIDENCE - PUBLIC HOUSING,J,1006423,238904,40.8223923,-73.91988849,"(40.8223923, -73.919888489)"
